ID,study_title,hypothesis_statement,effect_of_interest,statistical_result,df_t,t_statistic,p_value_t,es,ci_es,df1_f,df2_f,f_statistic,p_value_f,es_f,ci_f,preregistration,raw_data,access_raw_data,Any_stats?,p-values?,test_stats?,Df?,ES?,CI_ES?,,Colour Legend,
11,Changes to horizontal force-velocity and impulse measures during sprint running acceleration with thigh and shank wearable resistance,It was hypothesized that greater changes to the horizontal F-v and impulse measures would occur with shank WR due to the greater inherent rotational inertia.,difference of means,"(table 1) F0 was lower in the shank condition than in the thigh condtion ES=0.27, p = 0.04",,,p = 0.03,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
12,Resistance training intervention performed with different muscle action durations influences the maximal dynamic strength without promoting joint-angle specific strength gains,"larger MVIC gains would occur at initial angles of the ROM for faster training protocols. In contrast, larger MVIC

ments at the end of the ROM would be observed for slower training protocols.",main effect,"Results of relative change in MVIC showed only significant effects for group (F3, 36 = 4.78; p = 0.007; η2 = 0.121) and angle (F6, 216 = 4.81; p < 0.001; η2 = 0.063)",,,,,,6,216,4.81,p < 0.001,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
13,Exercise Performance Is Impaired during the Midluteal Phase of the Menstrual Cycle,"We hypothesized that an 8-km cycling time trial performance would be slower in the ML phase

compared with the MF phase and that this would coincide with

a more negative mood state during the ML compared with the

MF phase.",difference of means,"There was, on average, a difference of 26 ± 36 s (2.6%) between phases (P = 0.030, 95% CI = 3–49 s, Cohen’s dz = 0.72).",,,p = 0.03,standardised,"yes, only for the unstandardised",,,,,,,no,no,,Yes,Yes,No,No,standardised,"yes, only for the unstandardised",,,
14,Oral L-Tyrosine Supplementation Improves Core Temperature Maintenance in Older Adults,"we hypothesized that older adults supplemented with tyrosine will exhibit a greater

cutaneous VC response during 90min of whole-body cooling,

and the increased VC will correspond to a reduction in their

decline in TES.",difference of means,"Oral tyrosine ingestion augmented the cutaneous VC response to cooling in older adults (placebo, 14.4 ± 2.0; tyrosine, 32.7% ± 1.7% ΔCVC BASELINE; P < 0.05)",,,p < 0.05,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
15,Does a Loaded Warm-Up Influence Jump Asymmetry and Badminton-Specific Change of Direction Performance?,"It was hypothesized that the LWU would significantly improve CODS, but not SLCMJ perfor- mance or asymmetry.",difference of means,No significant differences between the CWU and LWU were observed for any variable (Table 3).,,,p = 0.075,standardised,Yes,,,,,,,no,no,,Yes,Yes,No,No,standardised,Yes,,,
16,"No effect of transcranial direct current stimulation of frontal, motor or visual cortex on performance of a self-paced visuomotor skill","it was hypothesised that frontal stimulation would have beneficial effects for both golf putting performance and QE duration, due to facilitation of executive areas involved in attentional control (Corbetta & Shulman, 2002).",main effect,"To examine the effect of stimulation group on golf putting perfor- mance a 4 (group) x 2 (condition) ANCOVA was conducted on radial error scores, no effect of group, F(3,66) = 2.09, p = .11, η2 = 0.053,",,,,,,3,66,2.09,p = 0.11,standardised,no,no,yes,yes,Yes,Yes,Yes,Yes,standardised,No,,,
17,Integrating visual trajectory and probabilistic information in baseball batting,i) Batting performance would be significantly better for later occlusion times.,main effect,"The ANOVA performed on these data revealed a significant main effect of occlusion time, F(2, 38) = 34.9, p < 0.001, η2p = .65. For both the 0.5 and 0.65 probability conditions the proportion of hits was significantly higher for the 150 ms occlusion time as compared to 50 ms, t(19) = 9.8, p < 0.001, d = 2.6 and t(19) = 7.2, p < 0.001, d = 1.9.",,,,,,2,38,34.9,p < 0.001,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
18,Effects of three neuromuscular electrical stimulation methods on muscle force production and neuromuscular fatigue,"It was hypothesized that the use of WP + VIB would increase TTI

and delay neuromuscular fatigue after stimulation when compared with NP and WP",difference of means,"TTI was higher during WP + VIB (19.63 ± 6.34 MVC.s, mean difference = 3.66, p < 0.001, Cohen's d = 0.501) than during WP (15.97 ± 4.79 MVC.s) condition",,,p < 0.001,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
19,Caffeine increases strength and power performance in resistance- trained females during early follicular phase,"We hypothesized a caffeine-induced increase in maximal strength and muscular

activation levels, vertical jump height, as well as in muscular

endurance, compared to placebo ingestion.",difference of means,"Caffeine significantly improved squat (4.5 ± 1.9%, effect size [ES]: 0.25)",,,p < 0.001,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
20,Cycling-specific isometric resistance training improves peak power output in elite sprint cyclists,"We hypothesized that the novel, cycling-specific isometric training stimulus would

elicit improvements in the PPO of already very well-trained athletes.",interaction effect,"from the change in CON (group × time interaction P = .14). Peak power output relative to body mass increased more in EXP compared to CON (group × time interaction P = .02),",,,,,,,,,p = 0.02,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
21,Hypohydration but not menstrual phase influences pain perception in healthy women,hypohydration would increase experimental pain sensitivity in women,main effect,"Pain tolerance was lower during HYPO than in EUH [by 34 (46) s; P = 0.02, η2p = 0.37)",,,,,,,,,p = 0.02,both types are reported,no,no,no,,Yes,Yes,No,No,Both,No,,,
22,The effects of fatiguing exercise and load carriage on the perception and initiation of movement,We hypothesized that fatigue and load carriage would negatively affect both accuracy (decreased) and initiation times (increased) for affordance perception.,interaction effect,"A repeated measures ANOVA (Figure 2) showed no significant interaction of exercise intensity and load carriage on RT (F (2.7,59.8) = 0.390, p = 0.82)",,,,,,2.7,59.8,0.39,p = 0.82,not reported,no,no,no,,Yes,Yes,Yes,Yes,No,No,,,
23,Priming exercise increases Wingate cycling peak power output,It was hypothesised that prior exercise will improve peak performance and resistance to fatigue in a following all out supra maximum effort.,main effect,"P = 0.009 In particular, the Priming30 condition exhibited greater values (595±84 W and 7.91±0.74 W/kg) compared to the control (567±85 W and 7.54± 0.79 W/kg)",,,,,,,,,p = 0.009,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
24,Influence of Dietary Nitrate Supplementation on High-Intensity Intermittent Running Performance at Different Doses of Normobaric Hypoxia in Endurance-Trained Males,it was hypothesized that BR supplementation would progressively enhance high-intensity intermittent running performance as the hypoxic dose was increased.,difference of means,"There were no differences in Tlim between PLA and BR supplementation at 0 m (445 [324, 508] and 410 [368, 548] s; ES = 0.26), 1,200 m (341 [270, 390] and 332 [314, 356] s; ES = 0.06) or 2,400 m (233 [177, 373] and 251 [221, 323] s; ES = 0.12) (p > .05).",,,p > 0.05,standardised,not reported,,,,,,,no,no,,Yes,Yes,No,No,standardised,No,,,
25,Effects of Adding Post-Workout Microcurrent in Males Cross Country Athletes,We hypothesised that combining microcurrent with endurance training induces additional performance benefits when compared to the training intervention alone (sham group).,main effect,"Both groups similarly increased MAS with no significant difference between groups Group: F(1,16)=0.03, p=0.876, η2=0.01",,,,,,1,16,0.03,p = 0.876,standardised,no,clinical trial,no,,Yes,Yes,Yes,Yes,standardised,No,,,
26,No Dose Response Effect of Carbohydrate Mouth Rinse on Cycling Time-Trial Performance,Our hypothesis was that greater carbohydrate concentrations in the rinsed solution would be associated with greater improvements in cycle time trial performance.,difference of means,no difference between the two CHO trials (p = .737),,,p = 0.737,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
27,L-Arginine Improves Endurance to High-Intensity Interval Exercises in Overweight Men,"hypothesized that such men receiving supplementation with L-arginine would have an enhanced exercise tolerance through HIIE (Álvares et al., 2012; Bailey et al., 2010; McKnight et al.,

2010), as measured by various markers of ventilatory function.",main effect,"The VE significantly increased during HIIE regardless of which supplement was consumed, F(24, 504)=68.56, p=.0001, ES= 0.76.",,,,,,24,504,68.56,p = 0.0001,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
28,Improving Utilization of Maximal Oxygen Uptake and Work Economy in Recreational Cross-Country Skiers With High-Intensity Double-Poling Intervals,"It can, therefore, be hypothesized that DP-specific high-intensity aerobic interval training

(HIT DP) could improve %RUN-VO2max in nonspecially DP

trained, but competitive, cross-country skiers.",difference of means,p = .085,,,p = 0.085,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
29,The Acute Physiological and Perceptual Effects of Individualizing the Recovery Interval Duration Based Upon the Resolution of Muscle Oxygen Consumption During Cycling Exercise,"Itwas hypothesized that the IND recovery duration would increase work interval power

output (PO) resulting in a greater acute physiological response during

the work intervals when compared with the STD recovery duration.",main effect,"No main effect of recovery duration F = 1.95, p = 0.18, n2p = 0.12",,,,,,2,26,1.95,p = 0.18,standardised,no,no,no,,Yes,Yes,Yes,No,standardised,No,,,
30,"Effects of 4, 8, and 12 Repetition Maximum Resistance Training Protocols on Muscle Volume and Strength","We hypothesized that the increase in the muscle strength would be greatest with the 4RM protocol, increase in muscle volume would be greatest with the 12RM protocol, and increases in muscle strength and volume would be intermediate with the 8RM protocol",difference of means,"The relative increase in 1RM in the 12RM group was significantly lower than that in the 4RM (p = 0.029, ES = 0.97) and 8RM (p = 0.021, ES = 1.03) groups",,,p = 0.029,standardised,not reported,,,,,,,no,no,,Yes,Yes,No,No,standardised,No,,,
31,Effects of a Strength-Dominated Exercise Program on Physical Fitness and Cognitive Performance in Preschool Children,"we hypothesized that the applied intervention program is more

effective to enhance primary (e.g., muscle strength of upper body,

muscle power of lower body) and secondary (e.g., static balance,

coordination, attention) outcomes compared with a regular

physical activity promoting kindergarten curriculum.",interaction effect,group x time interaction effects p < 0.001; d = 1.18,,,,,,,,,p < 0.001,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
32,"Acute Effect of Drop-Set, Traditional, and Pyramidal Systems in Resistance Training on Neuromuscular Performance in Trained Adults","Because the strategy adopted in RT session affects neuromuscular

responses (17,20), we hypothesized that lower- and

upper-limb performance will be impaired after RT session;",main effect,"for group (F(2,34) = 7.878, p 5 0.002)",,,,,,2,34,7.878,p = 0.002,not reported,no,no,no,,Yes,Yes,Yes,Yes,No,No,,,
33,"The effect of 1,3-butanediol and carbohydrate supplementation on running performance",It was hypothesised that CHO + BD supplementation would increase blood BHB concentrations and also enhance running performance.,difference of means,TT performances were similar in CHO-BD (1261±96s) and CHO trials (1265 ± 93 s) (p = 0.723),,,p = 0.723,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
34,Dynamic post-activation potentiation protocol improves rowing performance in experienced female rowers,"We hypothesized that both ISO and DYN protocols will improve rowing performance compared to the control condition, and that DYN will be superior to ISO.",main effect,A significant main effect for the condition was observed for total distance covered (p < 0.05),,,,,,,,,p < 0.05,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
35,Tibial acceleration and shock attenuation while running over different surfaces in a trail environment,"It was hypothesised dirt and gravelwould produce 1) lower tibial accelerations than running over apaved surface, 2) greater shock attenuation than running over apaved surface, and 3) no differences in tibial accelerations or shockattenuations between dirt and gravel running surfaces",main effect,No significant differences (Table 1) were found among running surfaces for peak tibial braking acceleration (p = 0.89) ES = 0.01,,,,,,,,,p = 0.89,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
36,Effect of photobiomodulation therapy on performance and running economy in runners: A randomized double-blinded placebo-controlled trial,our first hypothesis was that PBMT would result in a better performance (time reduction) during the 3000 m running test compared to the placebo condition,difference of means,The PBMT application before the 3000 m test resulted in running performance improvement (~7 seconds) compared to the placebo application (P < 0.007; ES = 0.610; Figure 3).,,,p < 0.007,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
37,Intermittent exercise-heat exposures and intense physical activity sustain heat acclimation adaptations,We hypothesize that regular intermittent exercise-heat exposures would retain HA adaptations 25 days after initial HA,difference of means,"Post-exercise HR was 28 bpm ([8,48], ES = 1.41, p = 0.01) lower in IHE compared to CON at +25d",,,p = 0.01,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
38,Mental fatigue independent of boredom and sleepiness does not impact self-paced physical or cognitive performance in normoxia or hypoxia,"mental fatigue, independently of hypoxia, will negatively impact both physical and cognitive performance;",main effect,"Mental fatigue had no effect on average power output during the time trial, p = 0.853 (η2p = 0.003)",,,,,,,,,p = 0.853,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
39,Blood Flow Restriction Improves Executive Function after Walking,we hypothesized that BFR exercise improves postexercise EF because of increases in blood lactate levels,main effect,there were no significant effects on EF parameters for both BFR and NBFR conditions (p = 0.77; reaction time in Congruent Task),,,,,,,,,p = 0.770,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
40,Exercise and Protein Effects on Strength and Function with Weight Loss in Older Women,"We hypothesized that although all treat- ments would confer favorable effects on weight status, body composition, and LEPF, the higher protein diet combined with exercise group would experience the greatest benefit in all out- comes of interest, especially LEPF, compared with the con- ventional protein control diet with exercise or protein diet alone groups.",interaction effect,"Group–time interactions were significant for all physical function variables (UPGO: F(3.1, 86.3) = 4.4, P < 0.01, η2 = 0.136;",,,,,,3.1,86.3,4.4,P < 0.01,standardised,no,clinical trial,no,,Yes,Yes,Yes,Yes,standardised,No,,,
41,The effects of coaches’ emotional expressions on players’ performance: Experimental evidence in a football context,We further predicted that expressed pride would benefit players’ performance.,interaction effect,"For original time, or the interaction (F1, 26 = 0.15, p = .70, η2p = 0.006)",,,,,,1,26,0.15,p = 0.70,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
42,Different task success criteria affect expectancies of success but do not improve golf putting performance,"Third, task performance and learning will improve with increased expectations of success and will decline when expectations of success are low.",interaction effect,"the interaction, F (4, 52) = 1.1, p = .37, ƞ2p = .08, power = .32, was not found to be significant",,,,,,4,52,1.1,p = 0.37,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
43,EEG neurofeedback improves cycling time to exhaustion,we hypothesized that increased relative left frontal cortical activity would allow individuals to cycle for longer during a constant load time-to-exhaustion task compared to both the opposite neurofeedback intervention (increased relative right frontal cortical activity) and a passive control intervention.,difference of means,"Orthogonal planned contrasts confirmed that the NFL group performed significantly better than the other two groups, t (37) = 2.03, p = .050, gs = 0.64, while the performance of the NFR and the passive control groups did not differ from each other, t (37) = 0.33, p = .744, gs = 0.10.",37,2.03,p = 0.050,not reported,not reported,,,,,,,no,no,,Yes,Yes,Yes,Yes,No,No,,,
44,Carbohydrates do not accelerate force recovery after glycogen-depleting followed by high-intensity exercise in humans,We hypothesized that glycogen resynthesis with CARB supplementation would improve recovery of PLFFD following an exercise task involving prolonged moderate-intensity exer- cise followed by sprint cycling.,main effect,CARB supplementation had no beneficial effect on the recovery of MVC torque,,,,,,,,,not reported,not reported,no,no,no,,Yes,No,No,No,No,No,,,
45,Superior performance improvements in elite cyclists following short-interval vs effort-matched long-interval training,we hypothesized that short intervals would result in su- perior improvements in the performance indicators as well as in the 20-minute cycling performance test.,main effect,"There was a larger (F = 14.43, P < .01; ES d = 0.67) percentage improvement in mean power output during the 20-minute test in SI than LI",,,,,,1,15,14.43,p < 0.01,standardised,no,no,no,,Yes,Yes,Yes,No,standardised,No,,,
46,Greater lactate accumulation following an acute bout of high-intensity exercise in males suppresses acylated ghrelin and appetite postexercise,"We hypothesized that, relative to a placebo-controlled session, exercise-induced increases in blood lactate following HIIT with NaHCO3 would decrease circulating plasma con- centrations of acylated ghrelin, leading to reductions in appetite.",interaction effect,There was no session by time interaction (P = 0.453;  np2 = 0.086),,,,,,,,,p < 0.453,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
47,Omission of a carbohydrate-rich breakfast impairs evening endurance exercise performance despite complete dietary compensation at lunch,We hypothesised that omission of a carbohydrate-rich breakfast would impair exercise performance.,difference of means,"This corresponded to more time taken to complete the time trial in the no breakfast compared with the breakfast condition (1113±326 vs 1075±294 secs, p=0.02).",,,p = 0.02,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
48,Voluntary hypocapnic hyperventilation lasting 5 min and 20 min similarly reduce aerobic metabolism without affecting power outputs during Wingate anaerobic test,"We hypothesized that 5 min of voluntary hypocapnic hyperventilation prior to exercise would decrease the aerobic metabolic rate to an extent similar to that achieved through 20-min of voluntary hyperventilation, without affecting the power output during the 30-s WAnT. If this is true, it would suggest the anaerobic energy supply increases to compensate for the reduced aerobic energy supply under these conditions.",difference of means,"Oxygen uptake during the 30-s WAnT was lower in the 5-min and 20-min hyperventilation trials than the control trial (1493 ± 257 vs. 1397 ± 447 vs. 1847 ± 286 mL min-1, P < 0.05, Figure 2A), with no difference between the two hyperventilation trials (P = 0.564)",,,P = 0.564,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
49,Sodium bicarbonate improves sprint performance in endurance cycling,The authors hypothe- size that stacked NaHCO3 loading by increasing extracellular buffer capacity can improve performance in a short all-out exercise bout at the end of a 3-h simulated cycling race.,difference of means,MPO over the full 90-sec bout was ∼3% higher in BIC (541 ± 59 W) than in PL (524±57W; 􏰢17±25W; t=−2.270; df=10; p=0.047; D = 0.29),10,-2.27,p = 0.047,standardised,not reported,,,,,,,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
51,The placebo effect on aerobic fitness test results is preserved following a multidisciplinary intervention program for treating childhood obesity,"We hypothesized that when an obese child is more familiar with physical exercise and is better trained, sham procedures, that is, placebos, would be less effective, if at all.",difference of means,Running time significantly increased in placebo in comparison to water (Table 2; p < 0.05).,,,p < 0.05,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
53,The biomechanical effects of pronated foot function on gait. An experimental study,we hypothesized that there would be increases in (a) knee and hip internal rotation and anterior pelvic tilt,difference of means,mean difference of 4.0  95%CI (1.0 to 6.7) ES 0.5 p = 0.01,,,p = 0.01,both types are reported,"yes, only for the unstandardised",,,,,,,no,no,,Yes,Yes,No,No,Both,"yes, only for the unstandardised",,,
54,Longitudinal hypertrophic and transcriptional responses to highload eccentric-concentric vs concentric training in males,"We hypothesized that in healthy, young male volunteers who were recreationally active, 12 weeks of unilateral combined maximal isokinetic concentric and eccentric resistance training would produce greater gains in muscle CSA, muscle volume, and isometric strength compared to maximal isokinetic concentric exercise training performed by the contralateral limb.",main effect,No difference was seen in change in muscle CSA with exercise training at any time point when comparing CON and ECC + CON legs.,,,,,,,,,not reported,not reported,no,no,no,,Yes,No,No,No,No,No,,,
55,Effects of eccentric training at long-muscle length on architectural and functional characteristics of the hamstrings,we hypothesized that the aforementioned eccentric training in a lengthened position would (a) increase fascicle length of the BFlh,interaction effect,"A significant interaction (time × group) effect was observed for fascicle length (F = 9.881, P = .004). Post-hoc testing revealed significant increase in fascicle length (+6.9%; P < .01; d = 1.12) in BFlh in the intervention group, while no significant changes were observed in the control group (P = .40-.42; d = 0.05-0.06).",,,,,,1,39,9.881,p = 0.004,not reported,no,no,no,,Yes,Yes,Yes,No,No,No,,,
56,Muscle fiber conduction velocity in the vastus lateralis and medialis muscles of soccer players after ACL reconstruction,we hypothesized that participants would present with reduced MFCV in both vasti muscles on the reconstructed side with respect to the contralateral limb.,difference of means,The MVIF was lower on the reconstructed side with respect to the contralateral one (655.6 ± 176.2 N vs 824.7 ± 137.2 N; P = .001; −20.5%).,,,p = 0.001,unstandardised,not reported,,,,,,,no,no,,Yes,Yes,No,No,unstandardised,No,,,
57,Neuromuscular determinants of explosive torque: Differences among strength-trained and untrained young and older men,We hypothesized that chronic resistance training would result in greater explosive torque in both young and older adults and that this would be associated with enhanced neural and muscular determinants in both groups.,main effect,"The absolute voluntary T50, T100, and T150 were greater for trained than untrained participants (P < 0.001),",,,,,,,,,p < 0.001,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
58,Comparison of balance performance between masters Olympic weightlifters and runners,"We hypothesized that the weightlifters would demonstrate better balance than the runners,

particularly under assessment conditions with visual inputs unavailable (ie, eyes closed).",main effect,"The two exercise groups demonstrated different balance proficiency (Figure 1) depending upon the vision/support surface condition (F3,258 = 3.6, P = .015, η2 p = 0.04).",,,,,,3,258,3.6,p = 0.015,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
59,Influence of stroke rate on coordination and sprint performance in elite male and female swimmers,We hypothesized that (a) the increase in stroke rate would lead to an increase in swimming speed and the IdC,main effect,"For the whole population, the swimmers on average swam significantly faster when the stroke rate was increased (H(8) = 21.83, P = .01; ε2 = 0.07, [0.04; 0.15]).",,,,,,,,,p = 0.01,standardised,yes,no,no,,Yes,Yes,No,No,standardised,Yes,,,
60,Increased oxygen extraction and mitochondrial protein expression after small muscle mass endurance training,We hypothesized that leg O2 extraction would be higher in TL than in CON due to increased oxidative capacity and larger recruitment of DMO2 after training.,difference of means,"During 2L-KE with equal absolute power output produced by both legs, O2 extraction was higher (difference: 1.7 ± 1.6%-points; P = 0.010; Fig. 3a) in TL compared to CON",,,p = 0.01,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
61,Caffeine improves various aspects of athletic performance in adolescents independent of their 163 C > A CYP1A2 genotypes,"We hypothesized that individuals with the AA genotype would have greater CAF-induced increases in strength, power, muscular endurance, agility, and aerobic performance than those with the AC and CC genotypes.",interaction effect,No genotype vs supplement interaction (P = .210),,,,,,,,,p = 0.210,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
63,Concentric versus eccentric cycling at equal power output or effort perception: Neuromuscular alterations and muscle pain,"we expected perception of effort to be lower during eccentric than concentric cycling at the same power output and, therefore, power output to be greater in eccentric when the exercises are matched for perception of effort.",difference of means,MVC declined after both conditions (all P < 0.001; all dz > 2.56) yet to a greater extent after ECCEFFORT than CON (-30.2 ± 15.8% vs -19 ± 6.5%; P = 0.03; dz = 1.2).,,,p = 0.03,standardised,not reported,,,,,,,clinical trial,no,,Yes,Yes,No,No,standardised,No,,,
64,Airflow restriction mask induces greater central fatigue after a non-exhaustive high-intensity interval exercise,"We hypothesized that wearing an ARM would cause a greater reduction in the SpO2 and blood pH, and a greater increase in the HR, plasma lactate concentration, dyspnea,

P-RPE, TEA, and greater end-exercise peripheral and central fatigue.",interaction effect,"There was a condition-moment interaction (F[1,13] = 9.2, p = 0.01) for MVC",,,,,,1,13,9.2,p = 0.01,not reported,no,no,no,,Yes,Yes,Yes,Yes,No,No,,,
