ID,study_title,hypothesis_statement,effect_of_interest,statistical_result,df1_f,df2_f,f_statistc,p_value,p_number,reported_p,computed_p,Agreement?,APA Text statement (original)
65,Runners with mid-portion Achilles tendinopathy have greater triceps surae intracortical inhibition than healthy controls,"We hypothesized that runners with chronic mid-portion AT would present with greater levels of cortical inhibition in the triceps surae and lower plantar flexor isometric peak torque, RTD, and number of SLHR than controls.",main effect,"Triceps surae SICI was 14.3% (95%CI: -2.1 to 26.4; F=5.271, p=0.032, η2p=0.201) higher in AT than in controls (57.9%, 95%CI: 36.2 to 79.6; and 43.6%, 95%CI:16.2 to 71.1)",1,22,5.271,p = 0.032,0.032,0.032,0.032,Reproduced,"F(1, 22) = 5.271, p = 0.03200"
66,Effects of 16 weeks of pyramidal and polarized training intensity distributions in well-trained endurance runners,"Our hypothesis was that, consistent with the training cycles typically used by elite endurance athletes,7 switching from pyramidal to polarized TID in the final phase of a training period would result in higher performance improvements compared to maintaining the same distribution (pyramidal or polarized) or switching from polarized to pyramidal TID.",interaction effect,"an interaction group × time (F(6, 112) = 5.2; p = 0.0001;  2 p = 0.22) for the time trial performance",6,112,5.2,p = 0.0001,0.0001,0.0001,0.0001,Reproduced,"F(6, 112) = 5.2, p = 0.00010"
67,"No thermoregulatory or ergogenic effect of dietary nitrate among physically inactive males, exercising above gas exchange threshold in hot and dry conditions","We hypothesised that the dry, hot conditions, coupled with the higher exercise intensity, would reveal the beneficial effects of NO3- supplementation on evaporative cooling, dry heat losses and metabolic cost of untrained participants.",interaction effect,"Tskin increased with time (F(9,90) = 7.179, P < 0.001), without condition effects (F(1,10) = 0.796, P = 0.096) or an interaction with time (F(9,90) = 0.122, P = 0.099) (Figure 1B).",9,90,0.122,p = 0.099,0.099,0.099,0.99,Not reproducible but compatible,"F(9, 90) = 0.122, p = 0.09900"
68,Effect of glucose and sodium chloride mouth rinses on neuromuscular fatigue: a preliminary study,In this study it was hypothesised that both glucose and NaCl would improve MVC post cycling as compared to water.,interaction effect,"For MVC, two-way ANOVA showed a significant interaction effect (F2, 27 = 7.412, p = 0.0027)",2,27,7.412,p = 0.0027,0.0027,0.0027,0.0027,Reproduced,"F(2, 27) = 7.412, p = 0.00270"
80,Effect of ambient temperature on fat oxidation during an incremental cycling exercise test,"We hypothesised that the fat oxidation-exercise intensity curve would be shifted downwards in the heat when compared to a temperate environment, producing notable reductions in MFO and in Fatmax.",main effect,"There was a main effect of the environment on fat oxidation rate (F = 9.35, P = 0.014)",1,11,9.35,p = 0.014,0.014,0.014,0.0109,Not reproducible but compatible,"F(1, 11) = 9.35, p = 0.01400"
81,What do you hear? The effect of stadium noise on football players’ passing performances,"Highly skilled sub-elite level football players’ passing performance scores and times (i.e., passing accuracy and passing time) will significantly decrease under stadium noise conditions compared to playing under a ‘baseline’ condition.",main effect,"The MANOVA revealed no significant main effect of passing accuracy score (H1), F(3,43) = .322, p = .809,",3,43,0.322,p = 0.809,0.809,0.809,0.809,Reproduced,"F(3, 43) = 0.322, p = 0.80900"
83,"p-Synephrine, the main protoalkaloid of Citrus aurantium, raises fat oxidation during exercise in elite cyclists","We hypothesised that acute p-synephrine ingestion would enhance fat oxidation during a graded exercise protocol, particularly at low-to-moderate exercise intensities, with no effect on energy expenditure.",main effect,"there was a main effect of p-synephrine to increase the rate of fat oxidation over the placebo (F=5.1, P=0.04)",1,14,5.1,p = 0.04,0.04,0.04,0.04,Reproduced,"F(1, 14) = 5.1, p = 0.04000"
86,Plyometric training increases gross motor coordination and associated components of physical fitness in children.,Our hypothesis was that plyometric training would improve performance in physical fitness and gross motor coordination tests.,interaction effect,"Figure 1. Interaction effect (F=6.07), p < 0.05",1,114,6.07,p < 0.05,0.05,0.05,0.015,Not reproducible but compatible,"F(1, 114) = 6.07, p = 0.05000"
87,Tissue flossing of the thigh increases isometric strength acutely but has no effects on flexibility or jump height,"we hypothesized an increase in ROM, MVC, and CMJ height",interaction effect,The two-way repeated-measures ANOVA test for hip ROM showed no interaction effect (P = 0.58; F = 0.32; df =15; η2=0.02),1,15,0.32,p = 0.93,0.93,0.93,0.58,Not reproducible but compatible,"F(1, 15) = 0.32, p = 0.93000"
88,Learner-adapted practice promotes skill transfer in unskilled adults learning the basketball set shot,"Given that the assigned task challenge would match the individual’s relative task difficulty, it was hypothesised that learner-adapted practice would lead to a greater proportion of skill repetitions performed at shooting locations of greater difficulty (i.e. greater distance and angle to basket). As a result, it was predicted that participants engaging in learner-adapted practice would demonstrate poorer performance throughout practice, compared to both blocked and random practice",main effect,"Analysis revealed a significant effect of shooting location on the number of trials executed, F (3,33) = 73.03, p < .05, n2p = .90.",3,33,73.03,p < 0.05,0.05,0.05,0,Not reproducible but compatible,"F(3, 33) = 73.03, p = 0.05000"
90,"Dim light, sleep tight, and wake up bright – Sleep optimization in athletes by means of light regulation","It was hypothesized that compared to a fixed sleep schedule only, carefully timed morning-light exposure and blue-light blocking in the evening, would improve (1) objective, actigraphy-based measures of sleep onset latency,",main effect,None of the actigraphy-based sleep estimates differed significantly between conditions (all p’s > .07),1,7,0.005,p = 0.944,0.944,0.944,0.946,Incorrectly rounded,"F(1, 7) = 0.005, p = 0.94400"
100,Caffeinated Chewing Gum Improves Bicycle Motocross Time-Trial Performance,It was hypothe- sized that CAF would improve TT time and power production.,main effect,"There was a significant condition effect on TT time F(1, 14) = 33.570, p = .001, η2p = .71; −1.5% ± 0.4 following CAF consumption compared with placebo.",1,14,33.57,p = 0.001,0.001,0.001,0,Not reproducible but compatible,"F(1, 14) = 33.57, p = 0.00100"
111,Altered Position Sense after Submaximal Eccentric Exercise–inducing Central Fatigue,We hypothesized that the submaximal eccentric fatiguing protocol would induce an acute central fatigue that would be associated with position sense alterations immediately after the exercise,main effect,"significant increase in position- matching errors was found for the JPM70 task (F3, 36 = 3.86, P = 0.017, η2p = 0.24)",3,36,3.86,0.017,0.017,0.017,0.017,Reproduced,"F(3, 36) = 3.86, p = 0.01700"
112,Athlete–Opponent Interdependency Alters Pacing and Information-Seeking Behavior,"It was hypothesized that a higher interdependency between athlete and opponent would evoke different pacing decisions, in response to the opponent’s pacing behavior, and would alter the information-seeking behavior of the exerciser.",interaction effect,"An interaction effect for condition–segment (F = 2.3, P = 0.042) was revealed, indicating differences in pacing profile between conditions",6,66,2.3,P = 0.042,0.042,0.042,0.0446,Not reproducible but compatible,"F(6, 66) = 2.3, p = 0.04200"
123,Continuous Jumps Enhance Twitch Peak Torque and Sprint Performance in Highly Trained Sprint Athletes,The main hypothesis is that the CA will induce PAP on the quadriceps muscles and positively affect the performance of subsequent sprints (PAPE).,interaction effect,"For the 30-m sprint performance (Figure 3B), analysis of variance showed a condition×time interaction (P<.01; F= 3.61).",5,55,3.61,p < 0.01,0.01,0.01,0.007,Not reproducible but compatible,"F(5, 55) = 3.61, p = 0.01000"
126,Effect of Resistance-Training Programs Differing in Set Configuration on Maximal Strength and Explosive-Action Performance,"we hypothesized that the gains in BP1RM, BPT30, and HTV would be comparable for both experimental groups (traditional group [TRG] and rest redistribution group [RRG]) in comparison with a control group (CG).",interaction effect,"The ANOVA applied on BP1RM revealed a significant time × group interaction (F2,32 = 14.4, P < .01, η2p = .474, statistical power = 1.00) due to higher values at posttest compared with pretest for TRG (P < .01; ES = 0.77; 95% CI, 0.39 to 1.25) and RRG (P < .01; ES = 0.59; 95% CI, 0.27 to 0.98) but not for CG (P = .66; ES = −0.03; 95% CI, −0.33 to 0.26).",2,32,14.4,p < 0.01,0.01,0.01,0,Not reproducible but compatible,"F(2, 32) = 14.4, p = 0.01000"
128,Does Cold-Water Immersion After Strength Training Attenuate Training Adaptation?,We hypothesized that regular CWI would lead to reduced adaptations of leg press 1-repetition maximum (1RM) and countermovement jump (CMJ) height.,interaction effect,"No significant effects were found for strength performance (condition: F = 0.18, P = .86; time: F = 1.15, P = .34; condition × time: F = 2.66, P = .09)",2,20,2.66,p = 0.09,0.09,0.09,0.09,Reproduced,"F(2, 20) = 2.66, p = 0.09000"
134,Indirect Markers of Muscle Damage Throughout the Menstrual Cycle,"We hypothesize that muscle damage is lower when the estrogen concentration is higher, as it is observed in LFP.",interaction effect,"an interaction between phase and time(F2,44=3.098;P= .046) was observed",2,44,3.098,0.046,0.046,0.046,0.055,Incompatible,"F(2, 44) = 3.098, p = 0.04600"
138,Effect of Stretching Protocols on Glenohumeral-Joint Muscle Activation in Elite Table Tennis Players,The main hypothesis considers that muscle activation decreases after static stretching when compared with the dynamic-stretching protocol in both tennis movements.,main effect,The statistical analysis for EMG amplitude indicated that there were significant differences in the backhand (F = 12.859; P = .035),4,92,12.859,p = 0.035,0.035,0.035,0,Not reproducible but compatible,"F(4, 92) = 12.859, p = 0.03500"
141,Single and Combined Effect of Acute Sleep Restriction and Mental Fatigue on Basketball Free-Throw Performance,The authors hypothesized that there would be a significant decrement in FT accuracy when players are mentally fatigued and forced into acute SR.,main effect,"There was a significant difference between conditions for FT performance (F1,18 = 4.177, P = .010, η2p = .19, medium). FT accu- racy was higher in CON than in MF (P = .015, d = 0.41, small), SR (P = .021, d = 0.43, small), and SRMF (P = .019, d = 0.41, small), with a decline in performance of approximately 7% in all 3 con- ditions.",1,18,4.177,p = 0.01,0.01,0.01,0.056,Incompatible,"F(1, 18) = 4.177, p = 0.01000"
142,The Influence of Intensive Anaerobic Effort on the Rhythm of Movement,"We hypothesize that high-intensity anaerobic exercise, which induces the highest fatigue changes, significantly deteriorates the ability of whole-body timing performance",main effect,"Statistically significant differ-ences were observed in XfUAPbetween thefirst and third rhythmmeasurement (F2,28=4.98,P<.014,η2p=26.23%)",2,28,4.98,P<.014,0.014,0.014,0.014,Reproduced,"F(2, 28) = 4.98, p = 0.01400"
145,The effect of descriptive norms and social identification on performance and exertion during a physical fitness task,participants who were told that their baseline performance was below the norm would demonstrate greater improvements in their performance (H1a) than participants who were told that their baseline performance was above the norm.,interaction effect,"Supporting H1a, there was also a significant condition × time interaction: F(1,76) = 4.47, p = 0.038, ηp 2 = 0.056,",1,76,4.47,p = 0.038,0.038,0.038,0.038,Reproduced,"F(1, 76) = 4.47, p = 0.03800"
146,Effect of concurrent strength and endurance training on run performance and biomechanics: A randomized controlled trial,CSE training group would improve running performance more than the control group.,unclear,"CSE training improved 2-km running performance more than the control group (F(1,25) = 9.22, p = 0.006; SMD −1.19 [−1.99, −0.39]; Figure 2)",1,25,9.22,p = 0.006,0.006,0.006,0.006,Reproduced,"F(1, 25) = 9.22, p = 0.00600"
152,Running economy in recreational male and female runners with similar levels of cardiovascular fitness,"We hypothesized that, within a given percent difference from predicted V ̇O2max values, women would exhibit greater running economy than men.",interaction effect,"Follow-up analyses revealed that both parameters increased progressively in transition between running speeds (P < 0.05). However, although the magnitude of increase in this parameter was similar between sexes without scaling, this was not sustained after V ̇O2 was scaled allometrically (speed 􏰉 sex interaction: F 􏰈= 4.1, P 􏰈= 0.04).",2,84,4.1,p = 0.04,0.04,0.04,0.02,Not reproducible but compatible,"F(2, 84) = 4.1, p = 0.04000"
155,The effect of leg preference on mechanical efficiency during single-leg extension exercise,the PL would exhibit greater submaximal mechanical efficiency during exercise executed at absolute and relative submaximal workloads;,main effect,"During exercise executed at 35 W, gnet was significantly greater in PL (Table 1; F = 6.1, p = 0.00012)",1,13,6.1,p = 0.00012,0.00012,0,0.028,Not reproducible but compatible,"F(1, 13) = 6.1, p = 0.00012"
160,Intermittent short-arm centrifugation is a partially effective countermeasure against upright balance deterioration following 60-day head-down tilt bed rest,"It was hypothesized that daily exposure to AG, either in a single long or multiple intermittent bouts, would mitigate the deterioration of standing balance quality and delayed APAs of the trunk muscles provoked by 60-day grav- itational unloading through HDT bed rest.",interaction effect,"A significant Time x Group interaction was found for Sway frequency power CoPy (F2,21 = 6.35; P = 0.007, g2 partial = 0.38)",2,21,6.35,P = 0.007,0.007,0.007,0.007,Reproduced,"F(2, 21) = 6.35, p = 0.00700"
166,"Effects of music tempo on perceived exertion, attention, affect, heart rate, and performance during isometric strength exercise","fast-tempo and slow-tempo music conditions will result in more dissociative attention, increased pleasantness and arousal, lower RPE scores, and a longer wall-sit and plank-hold compared to the no-music condition.",main effect,"There was no main effect of experimental condition on time to volitional exhaustion for the wall-sit, F(2, 60) = 0.81, p = .449, η2 = .02,",2,60,0.81,p = 0.449,0.449,0.449,0.4497,Incorrectly rounded,"F(2, 60) = 0.81, p = 0.44900"
179,High Cognitive Effort Prior to Velocity-Based Training Sessions Reduces Rate of Force Development but Not Maximum Strength Gains in Untrained Male Adults,We hypothesized that repeated high cognitive effort before velocity-based training sessions may cause reduced gains in RFD but might promote similar gains for 1RM and CMJ compared to a control group.,interaction effect,"A significant group × time interaction effect was found for the average RFD at 0–250ms (Figure 3; F(4,128)=18.22, p=0.001, ηp2=0.40, ES=very large)",4,128,18.22,p = 0.001,0.001,0.001,0,Not reproducible but compatible,"F(4, 128) = 18.22, p = 0.00100"
181,Effects of aging on conditional visuomotor learning for grasping and lifting eccentrically weighted objects,we hypothesized that older adults will fail to use arbitrary color cues about object CM location to modulate their digit position in an anticipatory manner,interaction effect,"Older adults failed to use the correct modulation of index finger and thumb based on the arbitrary color cues about object CM location when compared with young adults (Group CM interaction: F1.09., 19.62 = 12.89, P = 0.002; gp2 = 0.42)",1.09,19.62,12.89,p = 0.002,0.002,0.002,0.002,Reproduced,"F(1.09, 19.62) = 12.89, p = 0.00200"
189,Optimised force-velocity training during pre-season enhances physical performance in professional rugby league players,"force-velocity optimised training resulted in a greater magnitude of improvement in 3RM squat, sprint acceleration performance, SJ height,

peak power, and reduction in FVimb.",main effect,"Changes in 3RM squat across the training programme are presented in Figure 2. There was a group effect (F(1,26) = 12.72, P = 0.001), with greater values in the OP group postintervention (95% CI [1.76, 6.56] P = 0.001, Figure 2). Pre-post effect sizes for the OP group versus the GP group were 0.47 (CI [−1.05, 0.16]) vs 0.26 (CI [−0.89, 0.36]).",1,26,12.72,p = 0.001,0.001,0.001,0.001,Reproduced,"F(1, 26) = 12.72, p = 0.00100"
192,Isometric exercise and pain in patellar tendinopathy: A randomized crossover trial,The primary hypothesis is that isometric exercise will induce greater pain reduction during a pain aggravating activity in comparison to dynamic exercises.,interaction effect,"In the ANOVA there was no significant interaction between mode of exercise and time on NRS scores of pain during SLDS (F(238) = 0.6, p = 0.561, partial 􏰂2 = 0.03; Fig. 2; Table 2).",2,38,0.6,p = 0.561,0.561,0.561,0.554,Not reproducible but compatible,"F(2, 38) = 0.6, p = 0.56100"
195,A passive increase in muscle temperature enhances rapid force production and neuromuscular function in healthy adults,It was hypothesised that the elevated Tc would conceal the rapid contraction force response after heat exposure.,interaction effect,Significant interaction (time vs. water immersion condition) was observed for RTDV50 (p = 0.01),1.37,19.21,6.93,p = 0.01,0.01,0.01,0.01,Reproduced,"F(1.37, 19.21) = 6.93, p = 0.01000"
196,Kinesiology tape length and ankle inversion proprioception at step-down landing in individuals with chronic ankle instability,"We hypothesized that: individuals with CAI may benefit from KT, and the effects may depend on the length of tape applied; while individuals without CAI may not benefit from the application of KT.",main effect,"and that there was a significant KT main effect (F = 7.489, p < 0.001), suggesting that, overall, KT significantly improved ankle inversion proprioception in landing (Table 2).",1,28,7.489,p < 0.001,0.001,0.001,0.011,Not reproducible but compatible,"F(1, 28) = 7.489, p = 0.00100"
197,A comparison of heat acclimation by post-exercise hot water immersion and exercise in the heat,"post-exercise HWI would accelerate the speed of adaptation compared to EHA, and that the benefits of EHA beyond that of TNE would be modest.",main effect,"A two-way mixed model ANCOVA, with baseline as the covariate, detected a main effect of group for end-exercise Tre (f = 5.299, p = 0.013, Fig. 2B)",2,23,5.299,p = 0.013,0.013,0.013,0.013,Reproduced,"F(2, 23) = 5.299, p = 0.01300"
201,The effect of acute and repeated ischemic preconditioning on recovery following exercise-induced muscle damage,It was hypothesised that repeated IPC would attenuate the markers of EIMD during recovery in healthy recreational males to a greater extent than acute IPC and a control group.,interaction effect,"there was an effect of time for MVIC (P < 0.05) and an interaction between time and group (F(8,80) = 2.31, P = 0.027), with higher (P < 0.05) values demonstrated in the repeated IPC group at 24-h, 48-h and 72-h (90.4 ± 7.0 %, 101.5 ± 8.4% and 103.1 ± 4.7%, respectively) compared to the sham (81.4 6.7 %, 84.4 ± 7.0% and 89.7 ± 7.1%, respectively).",8,80,2.31,P = 0.027,0.027,0.027,0.028,Incorrectly rounded,"F(8, 80) = 2.31, p = 0.02700"
206,Psychological responses to HIIT and MICT over a 2-week progressive randomized trial among individuals at risk of type 2 diabetes,"in-task affect would be less pleasurable during HIIT in comparison to MICT, but enjoyment of HIIT would be greater than MICT.",main effect,"Significant main effects of time [F(3, 276) = 24.93, p < .001, η2 = .213] and group [F(1, 92) = 11.76, p = .001, η2 = .113] were observed, with participants in MICT reporting higher affective attitudes than those in HIIT throughout the intervention.",1,92,11.76,p = 0.001,0.001,0.001,0.001,Reproduced,"F(1, 92) = 11.76, p = 0.00100"
208,High vibration frequency of soft tissue occurs during gait in power-trained athletes,"(1) The lower extremity soft tissue compartment (rectus femoris, RF and gastrocnemius

medialis, GMS) vibration frequencies acquired from

power-trained athletes are significantly higher than those

acquired from non-power-trained athletes.",main effect,"The main effects for the group factor in the RF (F0.95(1,22) = 63.357, p < 0.001, η2 = 0.687, power = 0.999)",1,22,63.357,p < 0.001,0.001,0.001,0,Reproduced,"F(1, 22) = 63.357, p = 0.00100"
210,Effects of Nordic hamstring exercise combined with glider exercise on hip flexion flexibility and hamstring passive stiffness,"Based on the findings of previous studies, we postulated that isoinertial eccentric training at long muscle length would increase maximal ROM and reduce passive resistive torque.",interaction effect,"A significant interaction (time × group) effect was found for maximal passive ROM (F = 34.32, p < 0.001). Post-hoc testing revealed a significant increase in the intervention group for maximal passive ROM (11.2%; p < 0.001; d = 1.55), while no significant changes were observed in the control group (p = 0.46; d = 0.19).",1,32,34.32,p < 0.001,0.001,0.001,0,Reproduced,"F(1, 32) = 34.32, p = 0.00100"
212,Attenuation of stress-induced cardiovascular reactivity following high-intensity interval exercise in untrained males,"a single session of HIIE is effective at lowering cardiovascular reactivity in response

to a stress challenge, and that the magnitude of the lowering effect is greater than that produced by moderate-intensity exercise.",main effect,"Univariate ANCOVA ( ling for pre-CPT values) indicated that there were significant effects of experimental conditions on SBP (F(3, 35) = 5.61, p = 0.008, η2 = 0.24), Post-hoc analyses revealed that ing HIIE resulted in lower SBP (p = 0.009), DBP (p = 0.010) and MAP (p = 0.014) responses during CPT compared to CON. SBP responses during CPT were also lower in MIE (p = 0.044) pared to CON.",3,35,5.61,p = 0.008,0.008,0.008,0.003,Not reproducible but compatible,"F(3, 35) = 5.61, p = 0.00800"
226,The Effects of Transcranial Direct Current Stimulation on Chronic Ankle Instability,"We hypothesized that although eccentric training would contribute to improvements across all participants, the individuals receiving aTDCS could demonstrate earlier, greater, and more durable improvements in outcome variables",interaction effect,"There was a significant time–group interaction effect for DPSI ( F [3,60] = 2.952; P = 0.040; η 2 p = 0.129)",3,60,2.952,P = 0.040,0.04,0.04,0.04,Reproduced,"F(3, 60) = 2.952, p = 0.04000"
228,The effects of acute resistance exercise on young and older males' working memory*,We hypothesized that working memory performance can be facilitated by acute bouts of moderate intensity RE.,interaction effect,"the interaction of Treatment by Time (F(1,19) = 21.59, p < .001, partial n2 = 0.53) were also significant",1,19,21.59,p <0.001,0.001,0.001,0,Reproduced,"F(1, 19) = 21.59, p = 0.00100"
